Year,CD Revenue,CD Single Revenue,Cassette Revenue,Cassette Single Revenue,DVD Audio Revenue,Download Album Revenue,Download Music Video Revenue,Download Single Revenue,Kiosk Revenue,LP/EP Revenue,Limited Tier Paid Subscription Revenue,Music Video (Physical) Revenue,On-Demand Streaming (Ad-Supported) Revenue,Other Digital Revenue,Paid Subscription Revenue,Ringtones & Ringbacks Revenue,SACD Revenue,SoundExchange Distributions Revenue,Synchronization Revenue,Vinyl Single Revenue,Total Revenue
1989,2587.7,0.0,3345.8,194.6,0.0,0.0,0.0,0.0,0.0,220.3,0.0,115.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.4,6580.2
1990,3451.6,6.0,3472.4,257.9,0.0,0.0,0.0,0.0,0.0,86.5,0.0,172.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,7541.1
1991,4337.7,35.1,3019.6,230.4,0.0,0.0,0.0,0.0,0.0,29.4,0.0,118.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9,7834.2
1992,5326.5,45.1,3116.3,298.8,0.0,0.0,0.0,0.0,0.0,13.5,0.0,157.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4,9024.0
1993,6511.4,45.8,2915.8,298.5,0.0,0.0,0.0,0.0,0.0,10.6,0.0,213.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2,10046.6
1994,8464.5,56.1,2976.4,274.9,0.0,0.0,0.0,0.0,0.0,17.8,0.0,231.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,12068.0
1995,9377.4,110.9,2303.6,236.3,0.0,0.0,0.0,0.0,0.0,25.1,0.0,220.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,12320.3
1996,9934.7,184.1,1905.3,189.3,0.0,0.0,0.0,0.0,0.0,36.8,0.0,236.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,12533.800000000001
1997,9915.1,272.7,1522.7,133.5,0.0,0.0,0.0,0.0,0.0,33.3,0.0,323.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,12236.800000000001
1998,11416.0,213.2,1419.9,94.4,0.0,0.0,0.0,0.0,0.0,34.0,0.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,13711.2
1999,12816.3,222.4,1061.6,48.0,0.0,0.0,0.0,0.0,0.0,31.8,0.0,376.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,14584.699999999999
2000,13214.5,142.7,626.0,4.6,0.0,0.0,0.0,0.0,0.0,27.7,0.0,281.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,14323.7
2001,12909.4,79.4,363.4,0.0,6.0,0.0,0.0,0.0,0.0,27.4,0.0,329.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,13746.199999999999
2002,12044.1,19.6,209.8,0.0,8.5,0.0,0.0,0.0,0.0,20.5,0.0,288.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,12615.800000000001
2003,11232.9,36.0,108.1,0.0,8.0,0.0,0.0,0.0,0.0,21.7,0.0,399.9,0.0,0.0,0.0,0.0,26.3,0.0,0.0,21.5,11854.4
2004,11446.5,15.0,23.7,0.0,6.5,45.5,0.0,138.0,0.0,19.3,0.0,607.2,0.0,0.0,0.0,0.0,16.6,6.9,0.0,19.9,12345.1
2005,10520.2,10.9,13.1,0.0,11.2,135.7,3.7,363.3,1.0,14.2,0.0,602.2,0.0,0.0,149.2,421.6,10.0,20.4,0.0,13.2,12289.900000000001
2006,9372.6,7.7,3.7,0.0,2.4,275.9,19.7,580.6,1.9,15.7,0.0,451.1,0.0,0.0,206.2,773.8,5.5,32.8,0.0,9.9,11759.5
2007,7452.3,12.2,3.0,0.0,2.8,497.4,28.2,811.0,2.6,22.9,0.0,484.9,0.0,0.0,234.0,1055.8,3.6,36.2,0.0,4.0,10650.9
2008,5471.3,3.5,0.9,0.0,1.2,635.3,41.3,1032.2,2.6,56.7,0.0,227.3,0.0,0.0,221.4,977.1,3.1,100.0,0.0,2.9,8776.800000000001
2009,4318.8,3.1,0.0,0.0,1.6,744.3,40.9,1172.0,6.3,63.8,0.0,209.6,0.0,0.0,206.2,702.8,2.4,155.5,201.2,2.5,7831.0
2010,3389.4,2.9,0.0,0.0,0.9,872.4,36.6,1336.4,6.4,88.9,0.0,177.6,0.0,0.0,212.4,448.0,1.7,249.2,188.7,2.3,7013.8
2011,3100.7,3.5,0.0,0.0,0.3,1070.8,32.4,1522.4,2.7,119.4,0.0,151.0,113.8,0.0,247.8,276.2,1.5,292.0,196.5,4.6,7135.6
2012,2485.614699086,3.225092945,0.0,0.0,0.183106992,1204.822242537,20.842242,1644.570645308,3.654065,160.723058291,0.0,116.613654602,170.935408437,0.0,399.88253109,145.992935111,1.3425,462.0,190.597753,4.743055893,7015.742990292
2013,2140.917718167,2.445737226,0.0,0.0,0.0,1232.139715617,16.740803,1573.420534445,6.183604,210.739051034,0.0,106.283137789,220.873544491,0.0,643.324288756,97.999612333,0.9783826,590.4,189.679434,2.978937179,7035.104500637
2014,1776.249323795,3.616015547,0.0,0.0,2.139460944,1117.900008828,13.577058,1355.331251323,2.582636,243.84684834,0.0,89.705579875,283.793409371,0.0,770.270559124,66.311370667,0.76344539,773.4,189.713099,5.49935429,6694.699420494
2015,1444.993193529,1.19694661,0.0,0.0,5.416232673,1064.433606664,6.414419,1185.237594639,3.700455,333.379793112,0.0,70.434363958,371.990396399,0.0,1156.708513551,54.582024222,1.04346656,802.6,202.934888,5.752954082,6710.818847999
2016,1130.764650638,0.263199082,0.0,0.0,2.83553587,868.59426835,4.26940012,900.181481066,2.943916801,355.430890954,257.2927498,56.922902813,476.792472632,17.141662871,2186.442205817,56.325299125,1.20686148,883.9,214.83897654,4.880679689,7491.662337814
2017,1043.916051485,0.182339213,0.0,0.0,0.30883106,649.743861322,2.785780489,667.875936447,2.25474315,388.511108168,568.788264549,37.496603371,614.264327542,16.885109868,3359.760899106,35.513735653,0.85057856,652.0,232.086522899,6.07838535,8503.236057835
2018,695.813578618,0.015804147,0.0,0.0,0.32886706,495.258335623,2.2208106,489.86622023,1.965045799,419.223946961,740.513270408,28.415314793,752.689023397,19.839574865,4614.018502363,24.957859799,0.85969971,952.8,285.51349134,5.720600877,9738.196797245
2019,630.691377754,0.062558667,0.0,0.0,1.279679753,368.777883847,1.855021942,408.353016302,1.586470587,479.528431092,638.226190575,25.837151083,1013.319801544,21.512454038,6115.171947567,20.641318127,0.433302292,908.2,281.112735759,6.728343604,11130.617122794
2020,483.190106709,0.370353987,0.0,0.0,1.843745194,319.272873129,1.794225466,303.277969714,1.176884344,643.933761078,717.835361177,27.426624454,1196.548266344,18.890264246,6951.828950491,20.23960632,0.236672458,947.4,265.236066908,6.317220049,12118.066566852
2021,585.360559446,0.108721568,0.0,0.0,5.758628943,303.27336349,1.91202583,268.892951742,0.75045072,1044.565196701,898.290749863,19.899327857,1708.257981123,31.104152,8562.828682146,15.664092,0.211187,992.5,306.526161,7.898733916,14957.301999397001
2022,482.578146838,6.818145333,0.0,0.0,0.073177273,241.864662141,1.34292165,214.141847111,0.39610202,1224.385495213,1063.012028531,11.329987333,1802.838603871,25.914613,9179.01495898,11.016305033,0.193688,959.4,382.500721,5.614658764,15873.918839304
