,year,marathon_name,participant_count
0,2005,Last Chance Marathon,22
1,2005,Christmas Marathon,77
2,2005,Jacksonville Marathon,827
3,2005,Dallas White Rock Marathon,3076
4,2005,Honolulu Marathon,24219
5,2005,Otter Creek Trail Marathon,31
6,2005,Kiawah Island Marathon,1021
7,2005,Rocket City Marathon,812
8,2005,Roxbury Marathon,12
9,2005,California International Marathon,3249
10,2005,Las Vegas Marathon,8186
11,2005,Luton Marathon,426
12,2005,Marathon of the Palm Beaches,737
13,2005,Run Barbados Festival Marathon,10
14,2005,Tucson Marathon,1050
15,2005,Baton Rouge Beach Marathon,92
16,2005,Charlotte's Thunder Road Marathon,686
17,2005,Death Valley Borax Marathon,114
18,2005,Memphis Marathon,1531
19,2005,Reggae Marathon,114
20,2005,Tecumseh Trail Marathon,349
21,2005,Seattle Marathon,2248
22,2005,Space Coast Marathon,123
23,2005,Mississippi Coast Marathon,45
24,2005,North Central Trail Marathon,321
25,2005,Atlanta Marathon,607
26,2005,Gobbler Grind Marathon,155
27,2005,Philadelphia Marathon,5887
28,2005,Oklahoma Marathon,293
29,2005,Valley of Fire Marathon,88
30,2005,X-Country Marathon,32
31,2005,Harrisburg Marathon,496
32,2005,Marshall University Marathon,361
33,2005,Rock Creek Park Marathon and Relay,81
34,2005,San Antonio Marathon-Marathon of the Americas,713
35,2005,Chickamauga Battlefield Marathon,311
36,2005,Richmond Marathon,3532
37,2005,Stone Cat Marathon and 50 Mile Trail Races,128
38,2005,White River Marathon for Kenya (prev Mountain Home Marathon for Kenya),58
39,2005,City of Trees Marathon,283
40,2005,New York City Marathon,36872
41,2005,Santa Clarita Marathon,353
42,2005,Midsouth Marathon,158
43,2005,Stinson Beach Marathon,47
44,2005,Woodside Sequoia Trail Marathon,17
45,2005,Dublin Marathon,7932
46,2005,Auckland Marathon,1016
47,2005,Cape Cod Marathon,976
48,2005,Grand Rapids Marathon,615
49,2005,Hallow's Eve Trail Marathon,51
50,2005,Marine Corps Marathon,19110
51,2005,Silicon Valley Marathon,701
52,2005,Snowdonia Marathon,955
53,2005,Spinx Run Fest,190
54,2005,Tri-Cities Marathon,131
55,2005,Blue Springs Trail Marathon,46
56,2005,Detroit Free Press International Marathon,3553
57,2005,Duke City Marathon,326
58,2005,Kennebecasis Challenge Marathon,90
59,2005,Miracle Match Marathon,63
60,2005,Mystic Places Marathon,577
61,2005,Niagara Falls International Marathon,958
62,2005,Nike 26.2 = Nike Women's Marathon,4688
63,2005,On the Road for Education,123
64,2005,Breakers Marathon,233
65,2005,Halloween Marathon,32
66,2005,Napa Valley Wine Country Trail Marathon,21
67,2005,Old Mulkey Marathon,43
68,2005,Atlantic City Marathon,53
69,2005,Bay State Marathon,544
70,2005,Columbus Marathon,3786
71,2005,Humboldt Redwoods Marathon,155
72,2005,Long Beach International City Marathon,1928
73,2005,Louisville Marathon,293
74,2005,Mount Desert Island marathon,510
75,2005,Prince Edward Island Marathon,246
76,2005,Spokane Series Marathon,99
77,2005,Toronto Marathon,1589
78,2005,Wairarapa Country Marathon,37
79,2005,Wichita Marathon,400
80,2005,Baltimore Marathon,2397
81,2005,Golden Hills Trail Marathon,76
82,2005,Green Mountain Marathon,180
83,2005,Indianapolis Marathon,459
84,2005,Marathon 2 Marathon,53
85,2005,Siouxland Lewis & Clark Marathon (IA),165
86,2005,Springfield Marathon,91
87,2005,WhistleStop Marathon,587
88,2005,Bizz Johnson Trail Marathon,471
89,2005,Cardiff Marathon,1335
90,2005,Chicago Marathon,32995
91,2005,Durango Marathon,220
92,2005,"Just Around ""the"" Bend Marathon",81
93,2005,Melbourne Marathon,1561
94,2005,Mohawk-Hudson River Marathon,352
95,2005,Mt. Rushmore Marathon,214
96,2005,Okanagan Marathon,753
97,2005,Ottawa Fall Colours Marathon,87
98,2005,Portland Marathon,7201
99,2005,Steamtown Marathon,1426
100,2005,Towpath Marathon,370
101,2005,Valley Harvest Marathon,86
102,2005,Victoria Marathon,1958
103,2005,Westchester Marathon,168
104,2005,Hartford Marathon,1221
105,2005,Lake Tahoe Marathon,523
106,2005,Clarendon Way Marathon,254
107,2005,Johnstown Marathon,93
108,2005,Lakefront Marathon,1876
109,2005,Leicester Marathon,86
110,2005,Maine Marathon,775
111,2005,Marathon de Rimouski,101
112,2005,Sacramento CowTown Marathon,228
113,2005,the county marathon,282
114,2005,Twin Cities Marathon,7753
115,2005,Wineglass Marathon,536
116,2005,Akron Marathon,765
117,2005,Auburn Marathon,80
118,2005,Big Sur Trail Marathon,53
119,2005,Leavenworth Oktoberfest Marathon,69
120,2005,New Hampshire Marathon,185
121,2005,St. George Marathon,4610
122,2005,Adirondack Marathon,206
123,2005,Boulder Backroads Marathon,697
124,2005,Clarence Demar Marathon,270
125,2005,Fox Cities Marathon,562
126,2005,Lewis and Clark Marathon (MT),81
127,2005,Omaha Marathon,251
128,2005,Quad Cities Marathon,414
129,2005,San Pablo Bay Trail Run,11
130,2005,Toronto Waterfront Marathon,2030
131,2005,Kansas City Marathon,359
132,2005,Des Moines Marathon,871
133,2005,Dutchess County Classic Marathon,38
134,2005,Lewis & Clark Marathon (MO),453
135,2005,Maui Marathon,1425
136,2005,Montana Governor's Cup Marathon,100
137,2005,New Forest Marathon,421
138,2005,Newfoundland Provincial Marathon,62
139,2005,Treherne Marathon,37
140,2005,Two Bear Marathon,101
141,2005,Yonkers Marathon,121
142,2005,Air Force Marathon,1216
143,2005,Equinox Marathon,330
144,2005,North Country Trail Run,108
145,2005,Rochester Marathon,658
146,2005,Shore to Shore Marathon,35
147,2005,Top of Utah Marathon,1512
148,2005,Walker/North Country Races,78
149,2005,Erie Marathon at Presque Isle,428
150,2005,Lake Ainslie Marathon,24
151,2005,Montreal International Marathon,1001
152,2005,Oil Sands Marathon,22
153,2005,Pride of Canada Marathon,28
154,2005,Regina Queen City Marathon,399
155,2005,Robin Hood Marathon,1204
156,2005,Skagit Flats Marathon,115
157,2005,Stowe Marathon,110
158,2005,Sydney Marathon,1259
159,2005,Arkansas Marathon,32
160,2005,Bismarck Marathon,80
161,2005,Lake City Marathon,57
162,2005,Mid Mountain Marathon,116
163,2005,Superior Trail Marathon,83
164,2005,American Discovery Trail Marathon,205
165,2005,Heart of America Marathon,108
166,2005,Turtle Marathon,10
167,2005,Breckenridge Crest Mountain Marathon,138
168,2005,Monster Trail Marathon,30
169,2005,New Mexico Marathon,204
170,2005,Tupelo Marathon,138
171,2005,Wolverhampton City Marathon,194
172,2005,Pocatello Marathon,159
173,2005,Adelaide Festival City Marathon,176
174,2005,Iowa Trail Marathon,30
175,2005,Longford Marathon,238
176,2005,Quebec City Marathon/Marathon des Deux Rives,762
177,2005,Hawke's Bay Marathon,117
178,2005,Mesa Falls Marathon,116
179,2005,Run With the Horses Marathon,57
180,2005,Self-Transcendence Marathon,642
181,2005,Edmonton Centennial Marathon,313
182,2005,Humpy's Classic Marathon,203
183,2005,Mudgee Marathon,22
184,2005,Pikes Peak Marathon,887
185,2005,Silver State Marathon,104
186,2005,Yellowknife Marathon,13
187,2005,Grizzly Marathon,111
188,2005,Haulin' Aspen Trail Marathon,136
189,2005,Isle of Man Marathon,76
190,2005,LEADING LADIES' MARATHON,80
191,2005,World Championships Women's Marathon 2005,51
192,2005,Crater Lake Marathon,133
193,2005,Paavo Nurmi Marathon (USA),259
194,2005,World Championships Men's Marathon 2005,61
195,2005,Marathon by the Sea,157
196,2005,Townsville Marathon,87
197,2005,Yukon River Trail Marathon,56
198,2005,Frank Maier Marathon,53
199,2005,Loop The Lake,16
200,2005,Carrollton Festival of Races,66
201,2005,The San Francisco Marathon,4873
202,2005,Grand Island Trail Marathon,156
203,2005,Jay Mountain Marathon,187
204,2005,Kilauea Volcano Wilderness Runs,135
205,2005,Around the Lake Marathon,52
206,2005,Deseret Morning News/KJZZ-TV Marathon,594
207,2005,Gateway To The Pacific Marathon,32
208,2005,Nova Scotia Marathon,35
209,2005,Friendly Massey Marathon,61
210,2005,Half Voyageur Trail Marathon,153
211,2005,University of Okoboji Marathon,69
212,2005,Calgary Marathon,859
213,2005,Pichi Richi Marathon,22
214,2005,SEAFAIR Marathon,630
215,2005,Grandfather Mountain Marathon,359
216,2005,Knee Knackering North Shore Trail Run,174
217,2005,Knysna Forest Marathon,578
218,2005,Foot Traffic Flat Marathon,116
219,2005,Gold Coast Airport Marathon,1586
220,2005,Perth Marathon,277
221,2005,Leadville Trail Marathon,238
222,2005,Pacific Crest Marathon,129
223,2005,Blackpool Marathon,807
224,2005,Estes Park Marathon,152
225,2005,Johnny Miles Marathon,70
226,2005,Kona Marathon,621
